[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:22:32 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13304935, 'exchange_timestamp': 1750668752000, 'last_traded_price': 5608325, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:32 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13304975, 'exchange_timestamp': 1750668752000, 'last_traded_price': 5608325, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:32 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13305349, 'exchange_timestamp': 1750668752000, 'last_traded_price': 5608365, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13305651, 'exchange_timestamp': 1750668752000, 'last_traded_price': 5608120, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13305980, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608080, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306148, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608080, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306204, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608080, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306208, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608080, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:33 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306336, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608080, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:34 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306469, 'exchange_timestamp': 1750668753000, 'last_traded_price': 5608125, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:34 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13306927, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5607655, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307152, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5608200, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307325, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5608200, 'subscription_mode_val': 'LTP'}
